building,position,rack,row,excluded

1,16,2,1,y
1,9,5,1,y
1,3,11,1,y
1,8,6,5,y
1,9,3,6,y
1,6,8,10,y
1,9,4,11,y
1,17,6,11,y
1,3,1,16,y
1,11,4,16,y
1,13,4,17,y
1,17,12,17,y
1,13,1,18,y
1,5,1,19,y
1,8,2,20,y
1,20,2,20,y
1,20,10,20,y
2,20,12,1,y
2,15,7,2,y
2,12,9,2,y
2,18,9,5,y
2,12,2,8,y
2,13,3,8,y
2,9,9,9,y
2,7,11,9,y
2,7,5,12,y
2,19,1,16,y
2,14,9,17,y
2,1,12,18,y
2,7,4,20,y
2,6,8,20,y
2,19,10,20,y
2,6,4,18,y
2,3,4,18,y
2,10,10,16,y
2,17,10,13,y
2,14,10,1,y
2,2,6,1,y
1,15,7,6,y
1,14,10,1,y
2,3,13,17,y
2,11,2,16,y
2,16,9,13,y
2,9,9,12,y
1,14,8,20,y
1,10,1,4,y
1,8,2,1,y
1,13,6,19,y
2,11,11,14,y
1,15,8,17,y
1,17,2,1,y
1,13,10,20,y
1,7,4,18,y
2,11,6,19,y
1,10,1,1,y
2,6,3,20,y
1 5,3,2,y
1,2,6,17,y
1,18,11,18,y
1,10,12,13,y
1,12,9,7,y
1,5,13,18,y







1,11,10,2,y
1,10,11,2,y

1,1,10,3,y
1,2,10,3,y
1,3,10,3,y
1,4,10,3,y
1,5,10,3,y
1,6,10,3,y
1,7,10,3,y
1,8,10,3,y
1,9,10,3,y
1,10,10,3,y
1,11,10,3,y
1,12,10,3,y
1,13,10,3,y
1,14,10,3,y
1,15,10,3,y
1,16,10,3,y
1,17,10,3,y
1,18,10,3,y
1,19,10,3,y
1,20,10,3,y

1,10,1,4,y

1,2,3,7,y

1,1,1,11,y
1,2,1,11,y
1,3,1,11,y
1,4,1,11,y
1,5,1,11,y
1,6,1,11,y
1,7,1,11,y
1,8,1,11,y
1,9,1,11,y
1,10,1,11,y
1,11,1,11,y
1,12,1,11,y
1,13,1,11,y
1,14,1,11,y
1,15,1,11,y
1,16,1,11,y
1,17,1,11,y
1,18,1,11,y
1,19,1,11,y
1,20,1,11,y

1,1,2,11,y
1,2,2,11,y
1,3,2,11,y
1,4,2,11,y
1,5,2,11,y
1,6,2,11,y
1,7,2,11,y
1,8,2,11,y
1,9,2,11,y
1,10,2,11,y
1,11,2,11,y
1,12,2,11,y
1,13,2,11,y
1,14,2,11,y
1,15,2,11,y
1,16,2,11,y
1,17,2,11,y
1,18,2,11,y
1,19,2,11,y
1,20,2,11,y

1,19,7,11,y
1,1,12,11,y
1,8,3,13,y
1,7,13,13,y
1,18,1,14,y

1,1,6,14,y
1,2,6,14,y
1,3,6,14,y
1,4,6,14,y
1,5,6,14,y
1,6,6,14,y
1,7,6,14,y
1,8,6,14,y
1,9,6,14,y
1,10,6,14,y
1,11,6,14,y
1,12,6,14,y
1,13,6,14,y
1,14,6,14,y
1,15,6,14,y
1,16,6,14,y
1,17,6,14,y
1,18,6,14,y
1,19,6,14,y
1,20,6,14,y

1,13,9,14,y
1,18,9,14,y
1,19,9,14,y
1,20,9,14,y

1,2,12,15,y
1,3,12,15,y
1,4,12,15,y
1,5,12,15,y
1,6,12,15,y
1,7,12,15,y
1,8,12,15,y
1,9,12,15,y
1,10,12,15,y
1,11,12,15,y
1,12,12,15,y
1,13,12,15,y
1,14,12,15,y
1,15,12,15,y
1,16,12,15,y
1,17,12,15,y
1,18,12,15,y
1,19,12,15,y
1,20,12,15,y

1,1,2,16,y
1,2,2,16,y
1,3,2,16,y
1,4,2,16,y
1,5,2,16,y
1,6,2,16,y
1,7,2,16,y
1,8,2,16,y
1,9,2,16,y
1,10,2,16,y
1,11,2,16,y
1,12,2,16,y
1,13,2,16,y
1,14,2,16,y
1,15,2,16,y
1,16,2,16,y
1,17,2,16,y
1,18,2,16,y
1,19,2,16,y
1,20,2,16,y

1,7,7,18,y
1,7,8,19,y
1,7,10,19,y
1,14,8,19,y

2,1,7,1,y
2,2,7,1,y
2,3,7,1,y
2,4,7,1,y
2,5,7,1,y
2,6,7,1,y
2,7,7,1,y
2,8,7,1,y
2,9,7,1,y
2,10,7,1,y
2,11,7,1,y
2,12,7,1,y
2,13,7,1,y
2,14,7,1,y
2,15,7,1,y
2,16,7,1,y
2,17,7,1,y
2,18,7,1,y
2,19,7,1,y
2,20,7,1,y

2,1,1,7,y
2,2,1,7,y
2,3,1,7,y
2,4,1,7,y
2,5,1,7,y
2,6,1,7,y
2,7,1,7,y
2,8,1,7,y
2,9,1,7,y
2,10,1,7,y
2,11,1,7,y
2,12,1,7,y
2,13,1,7,y
2,14,1,7,y
2,15,1,7,y
2,16,1,7,y
2,17,1,7,y
2,18,1,7,y
2,19,1,7,y
2,20,1,7,y
2,1,2,7,y
2,2,2,7,y
2,3,2,7,y
2,4,2,7,y
2,5,2,7,y
2,6,2,7,y
2,7,2,7,y
2,8,2,7,y
2,9,2,7,y
2,10,2,7,y
2,11,2,7,y
2,12,2,7,y
2,13,2,7,y
2,14,2,7,y
2,15,2,7,y
2,16,2,7,y
2,17,2,7,y
2,18,2,7,y
2,19,2,7,y
2,20,2,7,y
2,1,3,7,y
2,2,3,7,y
2,3,3,7,y
2,4,3,7,y
2,5,3,7,y
2,6,3,7,y
2,7,3,7,y
2,8,3,7,y
2,9,3,7,y
2,10,3,7,y
2,11,3,7,y
2,12,3,7,y
2,13,3,7,y
2,14,3,7,y
2,15,3,7,y
2,16,3,7,y
2,17,3,7,y
2,18,3,7,y
2,19,3,7,y
2,20,3,7,y
2,1,4,7,y
2,2,4,7,y
2,3,4,7,y
2,4,4,7,y
2,5,4,7,y
2,6,4,7,y
2,7,4,7,y
2,8,4,7,y
2,9,4,7,y
2,10,4,7,y
2,11,4,7,y
2,12,4,7,y
2,13,4,7,y
2,14,4,7,y
2,15,4,7,y
2,16,4,7,y
2,17,4,7,y
2,18,4,7,y
2,19,4,7,y
2,20,4,7,y
2,1,5,7,y
2,2,5,7,y
2,3,5,7,y
2,4,5,7,y
2,5,5,7,y
2,6,5,7,y
2,7,5,7,y
2,8,5,7,y
2,9,5,7,y
2,10,5,7,y
2,11,5,7,y
2,12,5,7,y
2,13,5,7,y
2,14,5,7,y
2,15,5,7,y
2,16,5,7,y
2,17,5,7,y
2,18,5,7,y
2,19,5,7,y
2,20,5,7,y
2,1,6,7,y
2,2,6,7,y
2,3,6,7,y
2,4,6,7,y
2,5,6,7,y
2,6,6,7,y
2,7,6,7,y
2,8,6,7,y
2,9,6,7,y
2,10,6,7,y
2,11,6,7,y
2,12,6,7,y
2,13,6,7,y
2,14,6,7,y
2,15,6,7,y
2,16,6,7,y
2,17,6,7,y
2,18,6,7,y
2,19,6,7,y
2,20,6,7,y
2,1,7,7,y
2,2,7,7,y
2,3,7,7,y
2,4,7,7,y
2,5,7,7,y
2,6,7,7,y
2,7,7,7,y
2,8,7,7,y
2,9,7,7,y
2,10,7,7,y
2,11,7,7,y
2,12,7,7,y
2,13,7,7,y
2,14,7,7,y
2,15,7,7,y
2,16,7,7,y
2,17,7,7,y
2,18,7,7,y
2,19,7,7,y
2,20,7,7,y
2,1,8,7,y
2,2,8,7,y
2,3,8,7,y
2,4,8,7,y
2,5,8,7,y
2,6,8,7,y
2,7,8,7,y
2,8,8,7,y
2,9,8,7,y
2,10,8,7,y
2,11,8,7,y
2,12,8,7,y
2,13,8,7,y
2,14,8,7,y
2,15,8,7,y
2,16,8,7,y
2,17,8,7,y
2,18,8,7,y
2,19,8,7,y
2,20,8,7,y
2,1,9,7,y
2,2,9,7,y
2,3,9,7,y
2,4,9,7,y
2,5,9,7,y
2,6,9,7,y
2,7,9,7,y
2,8,9,7,y
2,9,9,7,y
2,10,9,7,y
2,11,9,7,y
2,12,9,7,y
2,13,9,7,y
2,14,9,7,y
2,15,9,7,y
2,16,9,7,y
2,17,9,7,y
2,18,9,7,y
2,19,9,7,y
2,20,9,7,y
2,1,10,7,y
2,2,10,7,y
2,3,10,7,y
2,4,10,7,y
2,5,10,7,y
2,6,10,7,y
2,7,10,7,y
2,8,10,7,y
2,9,10,7,y
2,10,10,7,y
2,11,10,7,y
2,12,10,7,y
2,13,10,7,y
2,14,10,7,y
2,15,10,7,y
2,16,10,7,y
2,17,10,7,y
2,18,10,7,y
2,19,10,7,y
2,20,10,7,y
2,1,11,7,y
2,2,11,7,y
2,3,11,7,y
2,4,11,7,y
2,5,11,7,y
2,6,11,7,y
2,7,11,7,y
2,8,11,7,y
2,9,11,7,y
2,10,11,7,y
2,11,11,7,y
2,12,11,7,y
2,13,11,7,y
2,14,11,7,y
2,15,11,7,y
2,16,11,7,y
2,17,11,7,y
2,18,11,7,y
2,19,11,7,y
2,20,11,7,y
2,1,12,7,y
2,2,12,7,y
2,3,12,7,y
2,4,12,7,y
2,5,12,7,y
2,6,12,7,y
2,7,12,7,y
2,8,12,7,y
2,9,12,7,y
2,10,12,7,y
2,11,12,7,y
2,12,12,7,y
2,13,12,7,y
2,14,12,7,y
2,15,12,7,y
2,16,12,7,y
2,17,12,7,y
2,18,12,7,y
2,19,12,7,y
2,20,12,7,y
2,1,13,7,y
2,2,13,7,y
2,3,13,7,y
2,4,13,7,y
2,5,13,7,y
2,6,13,7,y
2,7,13,7,y
2,8,13,7,y
2,9,13,7,y
2,10,13,7,y
2,11,13,7,y
2,12,13,7,y
2,13,13,7,y
2,14,13,7,y
2,15,13,7,y
2,16,13,7,y
2,17,13,7,y
2,18,13,7,y
2,19,13,7,y
2,20,13,7,y

2,14,13,9,y
2,11,6,10,y
2,1,9,10,y
2,2,9,10,y
2,17,11,10,y
2,14,11,11,y

2,1,2,13,y
2,2,2,13,y
2,3,2,13,y
2,4,2,13,y
2,5,2,13,y
2,6,2,13,y
2,7,2,13,y
2,8,2,13,y
2,9,2,13,y
2,10,2,13,y
2,11,2,13,y
2,12,2,13,y
2,13,2,13,y
2,14,2,13,y
2,15,2,13,y
2,16,2,13,y
2,17,2,13,y
2,18,2,13,y
2,19,2,13,y
2,20,2,13,y

2,7,13,13,y
2,17,3,14,y
2,13,3,15,y
2,18,2,17,y
2,20,11,17,y
2,17,2,18,y
2,18,2,18,y
2,5,2,19,y
2,20,7,20,y
